away_team_id,away_team_name,away_team_score,home_team_id,home_team_name,home_team_score,match_id,match_period,match_competition,match_round,match_season,match_seasonId,match_skyId,match_status,match_type,match_venue_id,match_venue_location,match_venue_name,_c18,team_name,total_match_score
t37,Barnsley,3,t91,Bournemouth,2,211e782b-0e83-3127-9c1e-ae27ea05d5a1,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430127,result,Regular,2734,Bournemouth,VitalityStadium,"",Barnsley,5
t107,PrestonNorthEnd,0,t112,WycombeWanderers,1,69bc7931-0f82-3dbd-abc0-183202489d3d,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430136,result,Regular,3,Wycombe,AdamsPark,"",PrestonNorthEnd,1
t103,Millwall,1,t24,DerbyCounty,0,4d98ee5a-1e4e-38d3-80dc-ee4e5ee7f801,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430129,result,Regular,45,Derby,PrideParkStadium,"",Millwall,1
t38,HuddersfieldTown,1,t52,QueensParkRangers,0,3a7c9183-6d6a-325f-a791-0da99b9715d3,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430133,result,Regular,68,London,KiyanPrinceFoundationStadium,"",HuddersfieldTown,1
t108,Reading,1,t17,NottinghamForest,1,25d668b5-920c-3799-8c3d-73e148335fae,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430132,result,Regular,40,Nottingham,TheCityGround,"",Reading,2
t57,Watford,2,t97,CardiffCity,1,f78379ab-960c-35ca-8e27-b15d7a4a4ee2,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430128,result,Regular,5040,Cardiff,CardiffCityStadium,"",Watford,3
t110,StokeCity,0,t25,Middlesbrough,3,80692a59-caf2-3f7b-ba8a-704a77cb9c63,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430131,result,Regular,46,Middlesbrough,RiversideStadium,"",StokeCity,3
t113,BristolCity,3,t41,BirminghamCity,0,72aba214-eb65-3f3d-b97b-e39ea11f1313,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430125,result,Regular,57,Birmingham,St.Andrew'sTrillionTrophyStadium,"",BristolCity,3
t45,NorwichCity,2,t19,SheffieldWednesday,1,f67f0988-805c-39a0-8eb2-c0e17ea70c30,FullTime,SkyBetChampionship,36,Season2020/2021,2020,430135,result,Regular,41,Sheffield,Hillsborough,"",NorwichCity,3
t57,Watford,4,t72,RotherhamUnited,1,e838885e-e6a5-3e14-b0ce-4d8370436dbb,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430142,result,Regular,8148,Rotherham,AESSEALNewYorkStadium,"",Watford,5
t110,StokeCity,0,t97,CardiffCity,0,e8eecb1b-02ea-3588-bd69-f452c1c13221,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430138,result,Regular,5040,Cardiff,CardiffCityStadium,"",StokeCity,0
t9,CoventryCity,0,t102,LutonTown,2,b8fdb101-0265-3646-9487-703ffc0f1361,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430140,result,Regular,100,Luton,KenilworthRoad,"",CoventryCity,2
t107,PrestonNorthEnd,0,t25,Middlesbrough,2,bfa027b6-0595-3396-a5c5-e8090491c3b0,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430141,result,Regular,46,Middlesbrough,RiversideStadium,"",PrestonNorthEnd,2
t94,Brentford,2,t24,DerbyCounty,2,49c82d89-6d4a-3b22-af84-ed5cbf3c8fd8,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430139,result,Regular,45,Derby,PrideParkStadium,"",Brentford,4
t80,SwanseaCity,0,t91,Bournemouth,3,26fbd82e-2c99-3baf-8879-bbaffc9e0809,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430137,result,Regular,2734,Bournemouth,VitalityStadium,"",SwanseaCity,3
t37,Barnsley,3,t112,WycombeWanderers,1,936d64f1-7285-3d45-8004-c123345e908a,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430148,result,Regular,3,Wycombe,AdamsPark,"",Barnsley,4
t45,NorwichCity,2,t17,NottinghamForest,0,7df8a2f2-4447-3f4d-9d48-b98e42190e63,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430145,result,Regular,40,Nottingham,TheCityGround,"",NorwichCity,2
t103,Millwall,2,t52,QueensParkRangers,3,3aca0b0c-e921-3002-8de6-06705f33bcce,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430146,result,Regular,68,London,KiyanPrinceFoundationStadium,"",Millwall,5
t113,BristolCity,0,t5,BlackburnRovers,0,e75776b7-4dd0-3266-beb9-cd9a08c98238,FullTime,SkyBetChampionship,37,Season2020/2021,2020,430144,result,Regular,32,Blackburn,EwoodPark,"",BristolCity,0
